player_id,player_name,player_name_clean,生涯长度,生涯WS序列,生涯换队次数,生涯首发占比,因伤赛季报销次数,早期得分斜率,早期平均得分,最高得分,峰值年龄,后期平均得分,后期/早期得分比,得分标准差,球员定位,新秀年龄,新秀赛季得分,早期出场时间,早期PER,早期TS%,早期USG%,早期BPM,早期WS,早期防守WS,早期3P%,早期助攻,助攻失误比,早期出勤率,最大连续缺席场次,出勤率稳定性,场均出场时间负荷,是否落选秀,早期篮板,早期抢断,早期盖帽,DPOY次数,FMVP次数,MIP次数,MVP次数,ROY次数,全明星次数,助攻王次数,得分王次数,抢断王次数,最佳新秀阵容次数,最佳第六人次数,最佳防守阵容次数,最佳阵容次数,盖帽王次数,篮板王次数,总获奖次数,S1_连续缺席惩罚项,S2_出勤率波动率,S3_出场时间负荷,S4_历史缺席率,伤病风险评分IRS,一级分类,二级分类,定位_大前锋,定位_小前锋,定位_得分后卫,定位_组织控卫,latest_season_name
3384,Spencer Jones,spencer jones,1,[-0.1],0,0.0,1,,1.3,1.3,23.0,1.3,1.0,,小前锋,23.0,1.3,6.3,4.5,0.368,13.7,-8.5,-0.1,,0.059,0.3,0.9999666677777407,0.24390243902439024,62.0,,6.3,0,0.9,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5121951219512195,0.0,0.13125,0.7560975609756098,85.13948170731706,新秀期,潜力待定,False,True,False,False,2024-25
2118,Jalen Bridges,jalen bridges,1,[-0.1],0,0.0,1,,1.1,1.1,23.0,1.1,1.0,,小前锋,23.0,1.1,3.8,-0.1,0.514,18.8,-12.5,-0.1,,0.286,0.0,0.0,0.0975609756097561,74.0,,3.8,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8048780487804879,0.0,0.07916666666666666,0.9024390243902439,100.0,新秀期,潜力待定,False,True,False,False,2024-25
3711,Yuri Collins,yuri collins,1,[0.1],0,0.0,1,,1.0,1.0,23.0,1.0,1.0,,组织控卫,23.0,1.0,8.0,13.9,0.333,7.9,0.3,0.1,,,2.0,199999.99999999997,0.024390243902439025,80.0,,8.0,0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.951219512195122,0.0,0.16666666666666666,0.975609756097561,100.0,新秀期,潜力待定,False,False,False,True,2024-25
1562,Daniss Jenkins,daniss jenkins,1,[-0.1],0,0.0,1,,1.0,1.0,23.0,1.0,1.0,,组织控卫,23.0,1.0,3.3,-0.1,0.322,21.8,-15.8,-0.1,,0.143,0.4,3.9996000399960003,0.08536585365853659,75.0,,3.3,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.829268292682927,0.0,0.06874999999999999,0.9146341463414634,100.0,新秀期,潜力待定,False,False,False,True,2024-25
2707,Luke Travers,luke travers,1,[-0.1],0,0.0,1,,1.0,1.0,23.0,1.0,1.0,,得分后卫,23.0,1.0,7.3,1.9,0.287,13.9,-9.7,-0.1,,0.0,0.7,0.9999857144897931,0.14634146341463414,70.0,,7.3,0,1.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7073170731707317,0.0,0.15208333333333332,0.8536585365853658,96.18368902439023,新秀期,潜力待定,False,False,True,False,2024-25
2039,Isaiah Crawford,isaiah crawford,1,[0.],0,0.0,1,,0.9,0.9,23.0,0.9,1.0,,小前锋,23.0,0.9,3.1,9.2,0.509,12.9,-4.1,0.0,,0.2,0.1,0.9999000099990001,0.18292682926829268,67.0,,3.1,0,0.5,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6341463414634145,0.0,0.06458333333333334,0.8170731707317074,90.8467987804878,新秀期,潜力待定,False,True,False,False,2024-25
1159,Anton Watson,anton watson,1,[0.],0,0.0,1,,0.9,0.9,24.0,0.9,1.0,,小前锋,24.0,0.9,2.4,5.9,0.444,21.7,-10.1,0.0,,0.0,0.2,0.999950002499875,0.10975609756097561,73.0,,2.4,0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7804878048780488,0.0,0.049999999999999996,0.8902439024390244,98.67682926829268,新秀期,潜力待定,False,True,False,False,2024-25
1989,Harrison Ingram,harrison ingram,1,[0.1],0,0.0,1,,0.8,0.8,22.0,0.8,1.0,,小前锋,22.0,0.8,7.0,10.9,0.5,6.1,-1.2,0.1,,0.0,0.6,2.9998500074996244,0.06097560975609756,77.0,,7.0,0,1.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8780487804878048,0.0,0.14583333333333334,0.9390243902439024,100.0,新秀期,潜力待定,False,True,False,False,2024-25
3618,Ulrich Chomche,ulrich chomche,1,[0.],0,0.0,1,,0.7,0.7,19.0,0.7,1.0,,大前锋,19.0,0.7,4.6,5.2,0.425,10.3,-7.4,0.0,,,0.3,0.9999666677777407,0.08536585365853659,75.0,,4.6,0,1.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.829268292682927,0.0,0.09583333333333333,0.9146341463414634,100.0,新秀期,潜力待定,True,False,False,False,2024-25
2665,Liam Robbins,liam robbins,1,[-0.1],0,0.0,1,,0.7,0.7,25.0,0.7,1.0,,中锋,25.0,0.7,4.4,2.6,0.363,14.2,-10.5,-0.1,,0.0,0.2,0.39999200015999686,0.15853658536585366,69.0,,4.4,0,0.9,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6829268292682926,0.0,0.09166666666666667,0.8414634146341463,93.9359756097561,新秀期,潜力待定,False,False,False,False,2024-25
