player_name,rookie_start_season,window_years,age_mean,games_sum,games_started_sum,minutes_sum,points_sum,assists_sum,rebounds_sum,steals_sum,blocks_sum,turnovers_sum,points_per36,assists_per36,rebounds_per36,steals_per36,blocks_per36,turnovers_per36,true_shooting_pct,usage_pct,three_point_pct,defensive_win_shares_cum,offensive_win_shares_cum,win_shares_cum,per_mean,ast_to_ratio,availability_mean,position_mode,minutes_trend,points_trend,minutes_cv,games_cv,primary_label,secondary_label
A.C. Green,1996,1,33.0,83.0,73.0,30.0,7.2,0.8,7.9,0.8,0.2,0.9,8.64,0.9600000000000001,9.48,0.9600000000000001,0.24000000000000002,1.08,0.523,0.11800000000000001,0.05,2.4,2.4,4.8,12.4,0.888888888888889,1.0121951219512195,PF,,,,,长青稳定型,潜力待定型
A.C. Green,1996,2,33.5,165.0,141.0,62.3,14.5,2.3,16.0,1.8,0.5,1.7000000000000002,8.378812199036918,1.3290529695024076,9.245585874799358,1.0401284109149278,0.28892455858747995,0.982343499197432,0.5095000000000001,0.11699999999999999,0.025,4.8,5.199999999999999,10.0,12.600000000000001,1.352941176470588,1.0060975609756098,PF,2.2999999999999923,0.09999999999999959,0.0369181380417335,0.006060606060606061,长青稳定型,潜力待定型
A.C. Green,1996,3,34.0,215.0,176.0,80.8,19.4,2.8,20.6,2.4,0.7,2.1,8.643564356435643,1.2475247524752473,9.178217821782178,1.0693069306930694,0.3118811881188118,0.9356435643564357,0.48666666666666675,0.12733333333333333,0.016666666666666666,5.5,5.8999999999999995,11.4,12.566666666666668,1.3333333333333333,0.8739837398373984,PF,-5.750000000000007,-1.1500000000000015,0.2241363627503362,0.21385235223390972,长青稳定型,潜力待定型
A.J. Price,2009,1,23.0,56.0,2.0,15.4,7.3,1.9,1.6,0.6,0.1,1.1,17.064935064935064,4.441558441558441,3.7402597402597406,1.4025974025974026,0.2337662337662338,2.5714285714285716,0.53,0.22699999999999998,0.345,0.8,0.4,1.2,14.0,1.727272727272727,0.6829268292682927,PG,,,,,长青稳定型,潜力待定型
A.J. Price,2009,2,23.5,106.0,2.0,31.3,13.8,4.1,3.0,1.2,0.1,2.2,15.872204472843451,4.715654952076677,3.450479233226837,1.3801916932907348,0.11501597444089458,2.530351437699681,0.492,0.22699999999999998,0.31,1.5,0.0,1.5,12.35,1.8636363636363633,0.6463414634146342,PG,0.5,-0.7999999999999995,0.01597444089456869,0.05660377358490566,长青稳定型,潜力待定型
A.J. Price,2009,3,24.0,150.0,3.0,44.2,17.7,6.1,4.4,1.7,0.1,2.9000000000000004,14.41628959276018,4.968325791855203,3.583710407239819,1.3846153846153844,0.08144796380090497,2.3619909502262444,0.47933333333333333,0.21033333333333334,0.305,2.0,0.2,2.2,12.066666666666668,2.1034482758620685,0.6097560975609756,PG,-1.2500000000000029,-1.7000000000000015,0.08907248726257704,0.09797958971132711,长青稳定型,潜力待定型
Aaron Brooks,2007,1,23.0,51.0,0.0,11.9,5.2,1.7,1.1,0.3,0.1,0.9,15.73109243697479,5.142857142857142,3.327731092436975,0.9075630252100839,0.3025210084033613,2.7226890756302518,0.535,0.218,0.33,0.8,0.6,1.4,13.1,1.8888888888888888,0.6219512195121951,PG,,,,,生涯波动型,潜力待定型
Aaron Brooks,2007,2,23.5,131.0,35.0,36.9,16.4,4.7,3.1,0.8999999999999999,0.2,2.5,16.0,4.585365853658536,3.024390243902439,0.8780487804878048,0.19512195121951223,2.439024390243903,0.535,0.218,0.348,1.6,1.2,2.8,13.1,1.8800000000000001,0.7987804878048781,PG,13.099999999999993,5.9999999999999964,0.35501355013550134,0.22137404580152673,生涯波动型,潜力待定型
Aaron Brooks,2007,3,24.0,213.0,117.0,72.5,36.0,10.0,5.7,1.7,0.4,5.3,17.875862068965517,4.9655172413793105,2.830344827586207,0.8441379310344828,0.19862068965517243,2.6317241379310348,0.5396666666666667,0.231,0.36466666666666664,3.2,5.1,8.3,14.066666666666668,1.8867924528301887,0.8658536585365854,PG,11.849999999999998,7.200000000000002,0.4011066736103307,0.19951670761385706,生涯波动型,潜力待定型
Aaron Gordon,2014,1,19.0,47.0,8.0,17.0,5.2,0.7,3.6,0.4,0.5,0.8,11.011764705882353,1.4823529411764707,7.623529411764705,0.8470588235294118,1.0588235294117647,1.6941176470588235,0.517,0.155,0.271,0.7,0.3,1.0,11.4,0.8749999999999999,0.573170731707317,PF,,,,,长青稳定型,潜力待定型
Aaron Gordon,2014,2,19.5,125.0,45.0,40.9,14.399999999999999,2.3,10.1,1.2000000000000002,1.2,1.6,12.674816625916868,2.024449877750611,8.88997555012225,1.056234718826406,1.0562347188264058,1.408312958435208,0.529,0.164,0.2835,2.9000000000000004,3.5,6.4,14.2,1.4374999999999998,0.7621951219512195,PF,6.899999999999996,3.999999999999998,0.16870415647921758,0.248,长青稳定型,潜力待定型
Aaron Gordon,2014,3,20.0,205.0,117.0,69.6,27.099999999999998,4.199999999999999,15.2,2.0,1.7,2.7,14.017241379310345,2.172413793103448,7.862068965517242,1.0344827586206897,0.8793103448275863,1.3965517241379313,0.5293333333333333,0.17633333333333334,0.285,4.6000000000000005,5.5,10.100000000000001,14.299999999999999,1.5555555555555551,0.8333333333333334,PF,5.849999999999998,3.7499999999999987,0.20698633109556844,0.22107842329023727,长青稳定型,潜力待定型
Aaron Gray,2007,1,23.0,61.0,1.0,10.0,4.3,0.7,2.8,0.3,0.3,0.9,15.48,2.5199999999999996,10.079999999999998,1.08,1.08,3.2399999999999998,0.529,0.22,0.0,0.8,0.1,0.8,13.9,0.7777777777777777,0.7439024390243902,C,,,,,长青稳定型,潜力待定型
Aaron Gray,2007,2,23.5,117.0,19.0,22.8,7.8,1.5,6.699999999999999,0.6,0.6,1.6,12.31578947368421,2.3684210526315788,10.578947368421051,0.9473684210526315,0.9473684210526315,2.526315789473684,0.529,0.22,0.0,1.6,0.2,1.6,13.9,0.9375,0.7134146341463414,C,2.8,-0.8000000000000004,0.12280701754385967,0.042735042735042736,长青稳定型,潜力待定型
Aaron Gray,2007,3,24.0,149.0,19.0,32.5,11.1,2.2,10.0,0.8999999999999999,0.8999999999999999,2.2,12.295384615384615,2.4369230769230774,11.076923076923077,0.9969230769230768,0.9969230769230768,2.4369230769230774,0.5363333333333333,0.20133333333333334,0.0,2.0,0.7,2.5,14.800000000000002,1.0,0.605691056910569,C,-0.15000000000000283,-0.5000000000000006,0.12886394825459652,0.2548568798127185,长青稳定型,潜力待定型
Aaron Holiday,2018,1,22.0,50.0,0.0,12.9,5.9,1.7,1.3,0.4,0.3,0.8,16.46511627906977,4.7441860465116275,3.627906976744186,1.1162790697674418,0.8372093023255813,2.2325581395348837,0.518,0.21899999999999997,0.339,0.8,0.1,0.9,11.9,2.125,0.6097560975609756,PG,,,,,长青稳定型,潜力待定型
Aaron Holiday,2018,2,22.5,116.0,33.0,37.4,15.4,5.1,3.7,1.2000000000000002,0.5,2.1,14.823529411764707,4.909090909090908,3.5614973262032086,1.1550802139037435,0.48128342245989303,2.021390374331551,0.5195000000000001,0.20299999999999999,0.36650000000000005,2.5,0.5,3.0,11.75,2.4285714285714284,0.7073170731707317,PG,11.599999999999993,3.5999999999999988,0.31016042780748665,0.13793103448275862,长青稳定型,3D角色球员
Aaron Holiday,2018,3,23.0,182.0,41.0,55.2,22.6,7.0,5.0,1.9000000000000001,0.7,3.1,14.739130434782608,4.565217391304347,3.260869565217391,1.2391304347826086,0.45652173913043476,2.0217391304347827,0.5140000000000001,0.20033333333333334,0.367,3.3,-0.09999999999999998,3.2,10.9,2.258064516129032,0.7398373983739838,PG,2.450000000000001,0.6499999999999989,0.258404720099847,0.12432646702181056,长青稳定型,3D角色球员
Aaron McKie,1996,1,24.0,83.0,11.0,19.6,5.2,1.9,2.7,0.9,0.3,1.1,9.551020408163266,3.489795918367346,4.959183673469387,1.6530612244897958,0.5510204081632653,2.020408163265306,0.524,0.147,0.398,2.4,1.0,3.5,12.1,1.727272727272727,1.0121951219512195,SG,,,,,生涯波动型,3D角色球员
Aaron McKie,1996,2,24.5,164.0,43.0,42.0,9.3,4.1,5.6,2.1,0.5,2.0,7.971428571428572,3.514285714285714,4.8,1.8,0.42857142857142855,1.7142857142857142,0.46699999999999997,0.1335,0.29400000000000004,4.4,0.30000000000000004,4.9,10.35,2.05,1.0,SF,2.7999999999999976,-1.1000000000000003,0.0666666666666666,0.012195121951219513,生涯波动型,防守尖兵
Aaron McKie,1996,3,25.0,214.0,47.0,61.2,14.100000000000001,6.1,8.399999999999999,3.4000000000000004,0.6,3.1,8.294117647058824,3.5882352941176467,4.941176470588235,2.0,0.3529411764705882,1.8235294117647058,0.4626666666666666,0.1396666666666667,0.26066666666666666,6.1000000000000005,0.20000000000000004,6.5,10.700000000000001,1.9677419354838708,0.8699186991869919,SG,-0.2000000000000055,-0.20000000000000123,0.0697848251766752,0.21178073259111518,生涯波动型,防守尖兵
